accuracy,f1,roc_auc,average_precision,train_time,infer_time,seed,model
0.96256,0.417910447761194,0.8292050426853522,0.509311601780569,0.13437128067016602,0.05878281593322754,11,LogisticRegression
0.97936,0.7393939393939394,0.8996424309450227,0.776323333186774,1.5372865200042725,0.14032530784606934,11,HistGradientBoosting
0.9624,0.39588688946015427,0.8587072217583831,0.5170852494647195,0.11724543571472168,0.04396772384643555,22,LogisticRegression
0.97904,0.7342799188640974,0.8989484934452958,0.7956738270854418,1.682572364807129,0.13451194763183594,22,HistGradientBoosting
0.96304,0.4151898734177215,0.8213697882325086,0.5184193386453632,0.12297892570495605,0.020051002502441406,33,LogisticRegression
0.97664,0.6958333333333333,0.8990940536617956,0.7571954601542552,1.4871091842651367,0.11106681823730469,33,HistGradientBoosting
0.96304,0.40616966580976865,0.8375166689412612,0.5333632631589883,0.260054349899292,0.06645679473876953,44,LogisticRegression
0.97792,0.7172131147540983,0.9028731691569365,0.7804679008305161,1.6230006217956543,0.10773658752441406,44,HistGradientBoosting
0.96368,0.4339152119700748,0.8293241595160142,0.5123872946744883,0.13480663299560547,0.043872833251953125,55,LogisticRegression
0.97872,0.7334669338677354,0.9043770517600878,0.7757214162351417,1.2072913646697998,0.09973716735839844,55,HistGradientBoosting
